record	locus_call	locus_start	locus_end	locus_strand	role	component	start	end	strand	identity	coverage	status	component_status	evidence_class	inserted_bases	reference
Tn1_NC_008357	Tn1	1	4949	+	terminal_IR	IRL	1	38	.	100.0	100.0	intact	complete	sequence_detected	0	Tn2c_HM749967__IRR__4913_4950
Tn1_NC_008357	Tn1	1	4949	+	blaTEM	blaTEM-2	148	1008	-	100.0	100.0	intact	complete	sequence_detected	0	Tn1_NC_008357__blaTEM_2__148_1008
Tn1_NC_008357	Tn1	1	4949	+	tnpR	tnpR	1191	1748	-	100.0	100.0	intact	complete	sequence_detected	0	Tn1_NC_008357__tnpR__1191_1748
Tn1_NC_008357	Tn1	1	4949	+	res	res	1754	1867	.	100.0	100.0	intact	complete	sequence_detected	0	Tn1_NC_008357__res__1754_1867
Tn1_NC_008357	Tn1	1	4949	+	tnpA	tnpA	1911	4916	+	100.0	100.0	intact	complete	sequence_detected	0	Tn1_NC_008357__tnpA__1911_4916
Tn1_NC_008357	Tn1	1	4949	+	terminal_IR	IRR	4912	4949	.	100.0	100.0	intact	complete	sequence_detected	0	Tn2c_HM749967__IRR__4913_4950
Tn2_AY123253	Tn2	1	4950	+	terminal_IR	IRL	1	38	.	100.0	100.0	intact	complete	sequence_detected	0	Tn2c_HM749967__IRR__4913_4950
Tn2_AY123253	Tn2	1	4950	+	blaTEM	blaTEM-1b	148	1008	-	100.0	100.0	intact	complete	sequence_detected	0	Tn2_AY123253__blaTEM_1b__148_1008
Tn2_AY123253	Tn2	1	4950	+	tnpR	tnpR	1191	1748	-	100.0	100.0	intact	complete	sequence_detected	0	Tn2_AY123253__tnpR__1191_1748
Tn2_AY123253	Tn2	1	4950	+	res	res	1754	1867	.	100.0	100.0	intact	complete	sequence_detected	0	Tn2c_HM749967__res__1754_1867
Tn2_AY123253	Tn2	1	4950	+	tnpA	tnpA	1911	4917	+	100.0	100.0	intact	complete	sequence_detected	0	Tn2_AY123253__tnpA__1911_4917
Tn2_AY123253	Tn2	1	4950	+	terminal_IR	IRR	4913	4950	.	100.0	100.0	intact	complete	sequence_detected	0	Tn2c_HM749967__IRR__4913_4950
Tn3_HM749966	Tn3	1	4948	+	terminal_IR	IRL	1	38	.	100.0	100.0	intact	complete	sequence_detected	0	Tn2c_HM749967__IRR__4913_4950
Tn3_HM749966	Tn3	1	4948	+	blaTEM	blaTEM-1a	148	1008	-	100.0	100.0	intact	complete	sequence_detected	0	Tn3_HM749966__blaTEM_1a__148_1008
Tn3_HM749966	Tn3	1	4948	+	tnpR	tnpR	1191	1748	-	100.0	100.0	intact	complete	sequence_detected	0	Tn3_HM749966__tnpR__1191_1748
Tn3_HM749966	Tn3	1	4948	+	res	res	1754	1867	.	100.0	100.0	intact	complete	sequence_detected	0	Tn3_HM749966__res__1754_1867
Tn3_HM749966	Tn3	1	4948	+	tnpA	tnpA	1911	4915	+	100.0	100.0	intact	complete	sequence_detected	0	Tn3_HM749966__tnpA__1911_4915
Tn3_HM749966	Tn3	1	4948	+	terminal_IR	IRR	4911	4948	.	100.0	100.0	intact	complete	sequence_detected	0	Tn2c_HM749967__IRR__4913_4950
Tn2c_HM749967	Tn2c	1	4950	+	terminal_IR	IRL	1	38	.	100.0	100.0	intact	complete	sequence_detected	0	Tn2c_HM749967__IRR__4913_4950
Tn2c_HM749967	Tn2c	1	4950	+	blaTEM	blaTEM-1c	148	1008	-	100.0	100.0	intact	complete	sequence_detected	0	Tn2c_HM749967__blaTEM_1c__148_1008
Tn2c_HM749967	Tn2c	1	4950	+	tnpR	tnpR	1191	1748	-	100.0	100.0	intact	complete	sequence_detected	0	Tn2c_HM749967__tnpR__1191_1748
Tn2c_HM749967	Tn2c	1	4950	+	res	res	1754	1867	.	100.0	100.0	intact	complete	sequence_detected	0	Tn2c_HM749967__res__1754_1867
Tn2c_HM749967	Tn2c	1	4950	+	tnpA	tnpA	1911	4917	+	100.0	100.0	intact	complete	sequence_detected	0	Tn2c_HM749967__tnpA__1911_4917
Tn2c_HM749967	Tn2c	1	4950	+	terminal_IR	IRR	4913	4950	.	100.0	100.0	intact	complete	sequence_detected	0	Tn2c_HM749967__IRR__4913_4950
Tn2_1_CP028717	Tn2.1	1	8979	+	terminal_IR	IRL	1	38	.	100.0	100.0	intact	complete	sequence_detected	0	Tn2c_HM749967__IRR__4913_4950
Tn2_1_CP028717	Tn2.1	1	8979	+	blaTEM	blaTEM-1b	4177	5037	-	100.0	100.0	intact	complete	sequence_detected	0	Tn2_AY123253__blaTEM_1b__148_1008
Tn2_1_CP028717	Tn2.1	1	8979	+	tnpR	tnpR	5220	5777	-	100.0	100.0	intact	complete	sequence_detected	0	Tn2_AY123253__tnpR__1191_1748
Tn2_1_CP028717	Tn2.1	1	8979	+	res	res	5783	5896	.	100.0	100.0	intact	complete	sequence_detected	0	Tn2c_HM749967__res__1754_1867
Tn2_1_CP028717	Tn2.1	1	8979	+	tnpA	tnpA	5940	8946	+	99.97	100.0	intact	complete	sequence_detected	0	Tn2c_HM749967__tnpA__1911_4917
Tn2_1_CP028717	Tn2.1	1	8979	+	terminal_IR	IRR	8942	8979	.	100.0	100.0	intact	complete	sequence_detected	0	Tn2c_HM749967__IRR__4913_4950
Tn1Mer_GQ160960	Tn1Mer	1	10491	+	terminal_IR	IRL	1	38	.	100.0	100.0	intact	complete	sequence_detected	0	Tn2c_HM749967__IRR__4913_4950
Tn1Mer_GQ160960	Tn1Mer	1	10491	+	blaTEM	blaTEM-2	148	1008	-	99.65	100.0	intact	complete	sequence_detected	0	Tn1_NC_008357__blaTEM_2__148_1008
Tn1Mer_GQ160960	Tn1Mer	1	10491	+	tnpR	tnpR	1191	1748	-	100.0	100.0	intact	complete	sequence_detected	0	Tn1_NC_008357__tnpR__1191_1748
Tn1Mer_GQ160960	Tn1Mer	1	10491	+	res	res	1754	1867	.	100.0	100.0	intact	complete	sequence_detected	0	Tn1_NC_008357__res__1754_1867
Tn1Mer_GQ160960	Tn1Mer	1	10491	+	tnpA	tnpA	7453	10458	+	100.0	100.0	intact	complete	sequence_detected	0	Tn1_NC_008357__tnpA__1911_4916
Tn1Mer_GQ160960	Tn1Mer	1	10491	+	terminal_IR	IRR	10454	10491	.	100.0	100.0	intact	complete	sequence_detected	0	Tn2c_HM749967__IRR__4913_4950
Tn3_V00613	Tn3	1	4957	+	terminal_IR	IRL	1	38	.	100.0	100.0	intact	complete	sequence_detected	0	Tn2c_HM749967__IRR__4913_4950
Tn3_V00613	Tn3	1	4957	+	blaTEM	blaTEM-1a	148	1008	-	100.0	100.0	intact	complete	sequence_detected	0	Tn3_HM749966__blaTEM_1a__148_1008
Tn3_V00613	Tn3	1	4957	+	tnpR	tnpR	1191	1748	-	100.0	100.0	intact	complete	sequence_detected	0	Tn3_HM749966__tnpR__1191_1748
Tn3_V00613	Tn3	1	4957	+	res	res	1754	1867	.	100.0	100.0	intact	complete	sequence_detected	0	Tn3_HM749966__res__1754_1867
Tn3_V00613	Tn3	1	4957	+	tnpA	tnpA	1911	4924	+	99.7	100.0	complete_with_insertion	complete	sequence_detected	9	Tn3_HM749966__tnpA__1911_4915
Tn3_V00613	Tn3	1	4957	+	terminal_IR	IRR	4920	4957	.	100.0	100.0	intact	complete	sequence_detected	0	Tn2c_HM749967__IRR__4913_4950
