record	locus_call	locus_start	locus_end	locus_strand	role	component	start	end	strand	identity	coverage	status	component_status	evidence_class	inserted_bases	reference
arbitrary_demo_contig	Tn1-like	8001	12949	+	terminal_IR	IRL	8001	8038	.	100.0	100.0	intact	complete	sequence_detected	0	Tn2c_HM749967__IRR__4913_4950
arbitrary_demo_contig	Tn1-like	8001	12949	+	blaTEM	blaTEM-2	8148	9008	-	99.42	100.0	intact	complete	sequence_detected	0	Tn1_NC_008357__blaTEM_2__148_1008
arbitrary_demo_contig	Tn1-like	8001	12949	+	tnpR	tnpR	9191	9748	-	99.1	100.0	intact	complete	sequence_detected	0	Tn1_NC_008357__tnpR__1191_1748
arbitrary_demo_contig	Tn1-like	8001	12949	+	res	res	9754	9867	.	100.0	100.0	intact	complete	sequence_detected	0	Tn1_NC_008357__res__1754_1867
arbitrary_demo_contig	Tn1-like	8001	12949	+	tnpA	tnpA	9911	12916	+	99.57	100.0	intact	complete	sequence_detected	0	Tn1_NC_008357__tnpA__1911_4916
arbitrary_demo_contig	Tn1-like	8001	12949	+	terminal_IR	IRR	12912	12949	.	100.0	100.0	intact	complete	sequence_detected	0	Tn2c_HM749967__IRR__4913_4950
arbitrary_demo_contig	Tn2-like	19950	25699	+	terminal_IR	IRL	19950	19987	.	100.0	100.0	intact	complete	sequence_detected	0	Tn2c_HM749967__IRR__4913_4950
arbitrary_demo_contig	Tn2-like	19950	25699	+	blaTEM	blaTEM-1b	20097	20957	-	100.0	100.0	intact	complete	sequence_detected	0	Tn2_AY123253__blaTEM_1b__148_1008
arbitrary_demo_contig	Tn2-like	19950	25699	+	tnpR	tnpR	21140	21697	-	100.0	100.0	intact	complete	sequence_detected	0	Tn2_AY123253__tnpR__1191_1748
arbitrary_demo_contig	Tn2-like	19950	25699	+	res	res	21703	21816	.	100.0	100.0	intact	complete	sequence_detected	0	Tn2c_HM749967__res__1754_1867
arbitrary_demo_contig	Tn2-like	19950	25699	+	tnpA	tnpA	21860	25666	+	100.0	100.0	complete_with_insertion	complete	sequence_detected	799	Tn2_AY123253__tnpA__1911_4917
arbitrary_demo_contig	Tn2-like	19950	25699	+	terminal_IR	IRR	25662	25699	.	100.0	100.0	intact	complete	sequence_detected	0	Tn2c_HM749967__IRR__4913_4950
arbitrary_demo_contig	Tn3-like	31700	36647	-	terminal_IR	IRR	31700	31737	.	100.0	100.0	intact	complete	sequence_detected	0	Tn2c_HM749967__IRR__4913_4950
arbitrary_demo_contig	Tn3-like	31700	36647	-	tnpA	tnpA	31733	34737	-	100.0	100.0	intact	complete	sequence_detected	0	Tn3_HM749966__tnpA__1911_4915
arbitrary_demo_contig	Tn3-like	31700	36647	-	res	res	34781	34894	.	100.0	100.0	intact	complete	sequence_detected	0	Tn3_HM749966__res__1754_1867
arbitrary_demo_contig	Tn3-like	31700	36647	-	tnpR	tnpR	34900	35457	+	100.0	100.0	intact	complete	sequence_detected	0	Tn3_HM749966__tnpR__1191_1748
arbitrary_demo_contig	Tn3-like	31700	36647	-	blaTEM	blaTEM-1a	35640	36500	+	100.0	100.0	intact	complete	sequence_detected	0	Tn3_HM749966__blaTEM_1a__148_1008
arbitrary_demo_contig	Tn3-like	31700	36647	-	terminal_IR	IRL	36610	36647	.	100.0	100.0	intact	complete	sequence_detected	0	Tn2c_HM749967__IRR__4913_4950
